match_id,date,home_team,away_team,home_goals,away_goals,is_neutral,tournament,tournament_tier,venue_country
1990-02-28_france_germany,1990-02-28,France,Germany,2,1,0,Friendly,friendly,France
1990-03-01_bahrain_oman,1990-03-01,Bahrain,Oman,0,0,1,Gulf Cup,friendly,Kuwait
1990-03-02_algeria_nigeria,1990-03-02,Algeria,Nigeria,5,1,0,African Cup of Nations,friendly,Algeria
1990-03-02_ivory_coast_egypt,1990-03-02,Ivory Coast,Egypt,3,1,1,African Cup of Nations,friendly,Algeria
1990-03-03_cameroon_zambia,1990-03-03,Cameroon,Zambia,0,1,1,African Cup of Nations,friendly,Algeria
1990-03-03_senegal_kenya,1990-03-03,Senegal,Kenya,0,0,1,African Cup of Nations,friendly,Algeria
1990-03-04_oman_qatar,1990-03-04,Oman,Qatar,2,4,1,Gulf Cup,friendly,Kuwait
1990-03-05_algeria_ivory_coast,1990-03-05,Algeria,Ivory Coast,3,0,0,African Cup of Nations,friendly,Algeria
1990-03-05_bahrain_united_arab_emirates,1990-03-05,Bahrain,United Arab Emirates,1,0,1,Gulf Cup,friendly,Kuwait
1990-03-05_nigeria_egypt,1990-03-05,Nigeria,Egypt,1,0,1,African Cup of Nations,friendly,Algeria
1990-03-06_cameroon_senegal,1990-03-06,Cameroon,Senegal,0,2,1,African Cup of Nations,friendly,Algeria
1990-03-06_mozambique_angola,1990-03-06,Mozambique,Angola,2,1,0,Friendly,friendly,Mozambique
1990-03-06_zambia_kenya,1990-03-06,Zambia,Kenya,1,0,1,African Cup of Nations,friendly,Algeria
1990-03-07_kuwait_qatar,1990-03-07,Kuwait,Qatar,2,0,0,Gulf Cup,friendly,Kuwait
1990-03-07_lesotho_zimbabwe,1990-03-07,Lesotho,Zimbabwe,1,4,1,Friendly,friendly,Mozambique
1990-03-08_algeria_egypt,1990-03-08,Algeria,Egypt,2,0,0,African Cup of Nations,friendly,Algeria
1990-03-08_angola_zimbabwe,1990-03-08,Angola,Zimbabwe,0,2,1,Friendly,friendly,Mozambique
1990-03-08_nigeria_ivory_coast,1990-03-08,Nigeria,Ivory Coast,1,0,1,African Cup of Nations,friendly,Algeria
1990-03-09_cameroon_kenya,1990-03-09,Cameroon,Kenya,2,0,1,African Cup of Nations,friendly,Algeria
1990-03-09_kuwait_united_arab_emirates,1990-03-09,Kuwait,United Arab Emirates,6,1,0,Gulf Cup,friendly,Kuwait
1990-03-09_zambia_senegal,1990-03-09,Zambia,Senegal,0,0,1,African Cup of Nations,friendly,Algeria
1990-03-10_angola_lesotho,1990-03-10,Angola,Lesotho,3,1,1,Friendly,friendly,Mozambique
1990-03-10_mozambique_zimbabwe,1990-03-10,Mozambique,Zimbabwe,3,1,0,Friendly,friendly,Mozambique
1990-03-10_united_states_finland,1990-03-10,United States,Finland,2,1,0,Friendly,friendly,United States
1990-03-11_mozambique_lesotho,1990-03-11,Mozambique,Lesotho,3,0,0,Friendly,friendly,Mozambique
1990-03-12_algeria_senegal,1990-03-12,Algeria,Senegal,2,1,0,African Cup of Nations,friendly,Algeria
1990-03-12_nigeria_zambia,1990-03-12,Nigeria,Zambia,2,0,1,African Cup of Nations,friendly,Algeria
1990-03-15_senegal_zambia,1990-03-15,Senegal,Zambia,0,1,1,African Cup of Nations,friendly,Algeria
1990-03-16_algeria_nigeria,1990-03-16,Algeria,Nigeria,1,0,0,African Cup of Nations,friendly,Algeria
1990-03-16_jamaica_barbados,1990-03-16,Jamaica,Barbados,0,1,0,Friendly,friendly,Jamaica
1990-03-18_jamaica_barbados,1990-03-18,Jamaica,Barbados,1,0,0,Friendly,friendly,Jamaica
1990-03-20_hungary_united_states,1990-03-20,Hungary,United States,2,0,0,Friendly,friendly,Hungary
1990-03-20_mexico_uruguay,1990-03-20,Mexico,Uruguay,2,1,1,Friendly,friendly,United States
1990-03-21_basque_country_romania,1990-03-21,Basque Country,Romania,2,2,0,Friendly,friendly,Spain
1990-03-24_sint_maarten_cayman_islands,1990-03-24,Sint Maarten,Cayman Islands,1,1,1,CFU Caribbean Cup qualification,qualifier,Saint Martin
1990-03-24_saint_kitts_and_nevis_antigua_and_barbuda,1990-03-24,Saint Kitts and Nevis,Antigua and Barbuda,3,1,0,Friendly,friendly,Saint Kitts and Nevis
1990-03-24_saint_martin_british_virgin_islands,1990-03-24,Saint Martin,British Virgin Islands,3,0,0,CFU Caribbean Cup qualification,qualifier,Saint Martin
1990-03-27_northern_ireland_norway,1990-03-27,Northern Ireland,Norway,2,3,0,Friendly,friendly,Northern Ireland
1990-03-28_egypt_romania,1990-03-28,Egypt,Romania,1,3,0,Friendly,friendly,Egypt
1990-03-28_england_brazil,1990-03-28,England,Brazil,1,0,0,Friendly,friendly,England
1990-03-28_german_dr_united_states,1990-03-28,German DR,United States,3,2,0,Friendly,friendly,German DR
1990-03-28_greece_israel,1990-03-28,Greece,Israel,2,1,0,Friendly,friendly,Greece
1990-03-28_hungary_france,1990-03-28,Hungary,France,1,3,0,Friendly,friendly,Hungary
1990-03-28_republic_of_ireland_wales,1990-03-28,Republic of Ireland,Wales,1,0,0,Friendly,friendly,Republic of Ireland
1990-03-28_luxembourg_iceland,1990-03-28,Luxembourg,Iceland,1,2,0,Friendly,friendly,Luxembourg
1990-03-28_poland_yugoslavia,1990-03-28,Poland,Yugoslavia,0,0,0,Friendly,friendly,Poland
1990-03-28_russia_netherlands,1990-03-28,Russia,Netherlands,2,1,0,Friendly,friendly,Soviet Union
1990-03-28_scotland_argentina,1990-03-28,Scotland,Argentina,1,0,0,Friendly,friendly,Scotland
1990-03-28_spain_austria,1990-03-28,Spain,Austria,2,3,0,Friendly,friendly,Spain
1990-03-31_switzerland_italy,1990-03-31,Switzerland,Italy,0,1,0,Friendly,friendly,Switzerland
1990-03-31_guernsey_alderney,1990-03-31,Guernsey,Alderney,4,0,0,Muratti Vase,friendly,Guernsey
1990-04-01_zambia_tanzania,1990-04-01,Zambia,Tanzania,2,0,0,Friendly,friendly,Zambia
1990-04-03_bermuda_iceland,1990-04-03,Bermuda,Iceland,0,4,0,Friendly,friendly,Bermuda
1990-04-03_switzerland_romania,1990-04-03,Switzerland,Romania,2,1,0,Friendly,friendly,Switzerland
1990-04-04_czechoslovakia_egypt,1990-04-04,Czechoslovakia,Egypt,0,1,0,Friendly,friendly,Czechoslovakia
1990-04-08_united_states_iceland,1990-04-08,United States,Iceland,4,1,0,Friendly,friendly,United States
1990-04-11_algeria_sweden,1990-04-11,Algeria,Sweden,1,1,0,Friendly,friendly,Algeria
1990-04-11_austria_hungary,1990-04-11,Austria,Hungary,3,0,0,Friendly,friendly,Austria
1990-04-11_denmark_turkey,1990-04-11,Denmark,Turkey,1,0,0,Friendly,friendly,Denmark
1990-04-11_german_dr_egypt,1990-04-11,German DR,Egypt,2,0,0,Friendly,friendly,German DR
1990-04-14_bermuda_antigua_and_barbuda,1990-04-14,Bermuda,Antigua and Barbuda,2,2,0,CFU Caribbean Cup qualification,qualifier,Bermuda
1990-04-15_barbados_saint_lucia,1990-04-15,Barbados,Saint Lucia,1,0,0,CFU Caribbean Cup qualification,qualifier,Barbados
1990-04-16_bermuda_antigua_and_barbuda,1990-04-16,Bermuda,Antigua and Barbuda,3,0,0,Friendly,friendly,Bermuda
1990-04-17_grenada_cura_ao,1990-04-17,Grenada,Curaçao,1,1,0,CFU Caribbean Cup qualification,qualifier,Grenada
1990-04-17_mexico_colombia,1990-04-17,Mexico,Colombia,2,0,1,Friendly,friendly,United States
1990-04-22_martinique_french_guiana,1990-04-22,Martinique,French Guiana,4,0,0,CFU Caribbean Cup qualification,qualifier,Martinique
1990-04-22_saint_vincent_and_the_grenadines_dominica,1990-04-22,Saint Vincent and the Grenadines,Dominica,2,1,0,CFU Caribbean Cup qualification,qualifier,Saint Vincent and the Grenadines
1990-04-22_united_states_colombia,1990-04-22,United States,Colombia,0,1,0,Friendly,friendly,United States
1990-04-25_england_czechoslovakia,1990-04-25,England,Czechoslovakia,4,2,0,Friendly,friendly,England
1990-04-25_germany_uruguay,1990-04-25,Germany,Uruguay,3,3,0,Friendly,friendly,Germany
1990-04-25_republic_of_ireland_russia,1990-04-25,Republic of Ireland,Russia,1,0,0,Friendly,friendly,Republic of Ireland
1990-04-25_israel_romania,1990-04-25,Israel,Romania,1,4,0,Friendly,friendly,Israel
1990-04-25_scotland_german_dr,1990-04-25,Scotland,German DR,0,1,0,Friendly,friendly,Scotland
1990-04-25_sweden_wales,1990-04-25,Sweden,Wales,4,2,0,Friendly,friendly,Sweden
1990-04-29_barbados_antigua_and_barbuda,1990-04-29,Barbados,Antigua and Barbuda,1,0,0,CFU Caribbean Cup qualification,qualifier,Barbados
1990-04-29_gabon_martinique,1990-04-29,Gabon,Martinique,0,2,1,Friendly,friendly,France
1990-04-29_jamaica_saint_kitts_and_nevis,1990-04-29,Jamaica,Saint Kitts and Nevis,3,0,0,CFU Caribbean Cup qualification,qualifier,Jamaica
1990-04-29_suriname_guyana,1990-04-29,Suriname,Guyana,5,0,0,CFU Caribbean Cup qualification,qualifier,Suriname
1990-05-01_guadeloupe_martinique,1990-05-01,Guadeloupe,Martinique,1,0,1,Friendly,friendly,France
1990-05-03_austria_argentina,1990-05-03,Austria,Argentina,1,1,0,Friendly,friendly,Austria
1990-05-04_colombia_poland,1990-05-04,Colombia,Poland,2,1,1,Marlboro Cup,friendly,United States
1990-05-05_brazil_bulgaria,1990-05-05,Brazil,Bulgaria,2,1,0,Friendly,friendly,Brazil
1990-05-05_united_states_malta,1990-05-05,United States,Malta,1,0,0,Friendly,friendly,United States
1990-05-06_cayman_islands_jamaica,1990-05-06,Cayman Islands,Jamaica,1,2,0,Friendly,friendly,Cayman Islands
1990-05-06_costa_rica_poland,1990-05-06,Costa Rica,Poland,0,2,1,Marlboro Cup,friendly,United States
1990-05-06_saint_martin_guadeloupe,1990-05-06,Saint Martin,Guadeloupe,2,1,0,CFU Caribbean Cup qualification,qualifier,Saint Martin
1990-05-07_jersey_guernsey,1990-05-07,Jersey,Guernsey,2,1,0,Muratti Vase,friendly,Jersey
1990-05-08_switzerland_argentina,1990-05-08,Switzerland,Argentina,1,1,0,Friendly,friendly,Switzerland
1990-05-08_andalusia_uruguay,1990-05-08,Andalusia,Uruguay,1,1,0,Friendly,friendly,Spain
1990-05-09_united_states_poland,1990-05-09,United States,Poland,3,1,0,Friendly,friendly,United States
1990-05-13_brazil_german_dr,1990-05-13,Brazil,German DR,3,3,0,Friendly,friendly,Brazil
1990-05-13_canada_mexico,1990-05-13,Canada,Mexico,2,1,0,NAFU Championship,friendly,Canada
1990-05-13_dominica_french_guiana,1990-05-13,Dominica,French Guiana,1,1,0,CFU Caribbean Cup qualification,qualifier,Dominica
1990-05-13_saint_lucia_bermuda,1990-05-13,Saint Lucia,Bermuda,0,2,0,CFU Caribbean Cup qualification,qualifier,Saint Lucia
1990-05-15_england_denmark,1990-05-15,England,Denmark,1,0,0,Friendly,friendly,England
1990-05-15_grenada_suriname,1990-05-15,Grenada,Suriname,3,1,1,CFU Caribbean Cup qualification,qualifier,Guyana
1990-05-16_republic_of_ireland_finland,1990-05-16,Republic of Ireland,Finland,1,1,0,Friendly,friendly,Republic of Ireland
1990-05-16_israel_russia,1990-05-16,Israel,Russia,3,2,0,Friendly,friendly,Israel
1990-05-16_scotland_egypt,1990-05-16,Scotland,Egypt,1,3,0,Friendly,friendly,Scotland
1990-05-17_barbados_suriname,1990-05-17,Barbados,Suriname,5,0,0,Friendly,friendly,Barbados
1990-05-18_mauritania_gambia,1990-05-18,Mauritania,Gambia,2,0,0,African Cup of Nations qualification,qualifier,Mauritania
1990-05-18_northern_ireland_uruguay,1990-05-18,Northern Ireland,Uruguay,1,0,0,Friendly,friendly,Northern Ireland
1990-05-18_zimbabwe_eswatini,1990-05-18,Zimbabwe,Eswatini,4,4,0,Friendly,friendly,Zimbabwe
1990-05-19_scotland_poland,1990-05-19,Scotland,Poland,1,1,0,Friendly,friendly,Scotland
1990-05-19_saint_kitts_and_nevis_guadeloupe,1990-05-19,Saint Kitts and Nevis,Guadeloupe,2,0,0,CFU Caribbean Cup qualification,qualifier,Saint Kitts and Nevis
1990-05-20_guyana_cura_ao,1990-05-20,Guyana,Curaçao,1,1,0,CFU Caribbean Cup qualification,qualifier,Guyana
1990-05-20_jamaica_saint_martin,1990-05-20,Jamaica,Saint Martin,1,0,0,CFU Caribbean Cup qualification,qualifier,Jamaica
1990-05-20_wales_costa_rica,1990-05-20,Wales,Costa Rica,1,0,0,Friendly,friendly,Wales
1990-05-21_poland_united_arab_emirates,1990-05-21,Poland,United Arab Emirates,4,0,1,Friendly,friendly,France
1990-05-21_romania_egypt,1990-05-21,Romania,Egypt,1,0,0,Friendly,friendly,Romania
1990-05-22_england_uruguay,1990-05-22,England,Uruguay,1,2,0,Friendly,friendly,England
1990-05-22_israel_argentina,1990-05-22,Israel,Argentina,1,2,0,Friendly,friendly,Israel
1990-05-26_belgium_romania,1990-05-26,Belgium,Romania,2,2,0,Friendly,friendly,Belgium
1990-05-26_bermuda_barbados,1990-05-26,Bermuda,Barbados,1,1,0,CFU Caribbean Cup qualification,qualifier,Bermuda
1990-05-26_egypt_colombia,1990-05-26,Egypt,Colombia,1,1,0,Friendly,friendly,Egypt
1990-05-26_gambia_burkina_faso,1990-05-26,Gambia,Burkina Faso,0,0,0,Friendly,friendly,Gambia
1990-05-26_germany_czechoslovakia,1990-05-26,Germany,Czechoslovakia,1,0,0,Friendly,friendly,Germany
1990-05-26_turkey_republic_of_ireland,1990-05-26,Turkey,Republic of Ireland,0,0,0,Friendly,friendly,Turkey
1990-05-26_yugoslavia_spain,1990-05-26,Yugoslavia,Spain,0,1,0,Friendly,friendly,Yugoslavia
1990-05-27_antigua_and_barbuda_saint_lucia,1990-05-27,Antigua and Barbuda,Saint Lucia,0,2,0,CFU Caribbean Cup qualification,qualifier,Antigua and Barbuda
1990-05-27_cura_ao_suriname,1990-05-27,Curaçao,Suriname,1,1,0,CFU Caribbean Cup qualification,qualifier,Curaçao
1990-05-27_georgia_lithuania,1990-05-27,Georgia,Lithuania,2,2,0,Friendly,friendly,Soviet Union
1990-05-27_guyana_grenada,1990-05-27,Guyana,Grenada,0,0,0,CFU Caribbean Cup qualification,qualifier,Guyana
1990-05-27_sweden_finland,1990-05-27,Sweden,Finland,6,0,0,Friendly,friendly,Sweden
1990-05-28_hungary_united_arab_emirates,1990-05-28,Hungary,United Arab Emirates,3,0,1,Friendly,friendly,France
1990-05-28_malta_scotland,1990-05-28,Malta,Scotland,1,2,0,Friendly,friendly,Malta
1990-05-29_bermuda_barbados,1990-05-29,Bermuda,Barbados,3,0,0,Friendly,friendly,Bermuda
1990-05-30_austria_netherlands,1990-05-30,Austria,Netherlands,3,2,0,Friendly,friendly,Austria
1990-05-30_burkina_faso_ghana,1990-05-30,Burkina Faso,Ghana,1,0,0,Friendly,friendly,Burkina Faso
1990-05-30_french_guiana_saint_vincent_and_the_grenadines,1990-05-30,French Guiana,Saint Vincent and the Grenadines,2,2,0,CFU Caribbean Cup qualification,qualifier,French Guiana
1990-05-30_germany_denmark,1990-05-30,Germany,Denmark,1,0,0,Friendly,friendly,Germany
1990-05-30_guadeloupe_jamaica,1990-05-30,Guadeloupe,Jamaica,0,0,0,CFU Caribbean Cup qualification,qualifier,Guadeloupe
1990-05-30_iceland_albania,1990-05-30,Iceland,Albania,2,0,0,UEFA Euro qualification,tournament,Iceland
1990-05-30_italy_greece,1990-05-30,Italy,Greece,0,0,0,Friendly,friendly,Italy
1990-05-30_liechtenstein_united_states,1990-05-30,Liechtenstein,United States,1,4,0,Friendly,friendly,Liechtenstein
1990-05-30_martinique_dominica,1990-05-30,Martinique,Dominica,0,0,0,CFU Caribbean Cup qualification,qualifier,Martinique
1990-05-31_andalusia_yugoslavia,1990-05-31,Andalusia,Yugoslavia,0,0,0,Friendly,friendly,Spain
1990-06-01_jordan_iraq,1990-06-01,Jordan,Iraq,0,2,0,Friendly,friendly,Jordan
1990-06-02_belgium_mexico,1990-06-02,Belgium,Mexico,3,0,0,Friendly,friendly,Belgium
1990-06-02_hungary_colombia,1990-06-02,Hungary,Colombia,3,1,0,Friendly,friendly,Hungary
1990-06-02_malta_republic_of_ireland,1990-06-02,Malta,Republic of Ireland,0,3,0,Friendly,friendly,Malta
1990-06-02_switzerland_united_states,1990-06-02,Switzerland,United States,2,1,0,Friendly,friendly,Switzerland
1990-06-02_tunisia_england,1990-06-02,Tunisia,England,1,1,0,Friendly,friendly,Tunisia
1990-06-03_gambia_mauritania,1990-06-03,Gambia,Mauritania,2,1,0,African Cup of Nations qualification,qualifier,Gambia
1990-06-03_yugoslavia_netherlands,1990-06-03,Yugoslavia,Netherlands,0,2,0,Friendly,friendly,Yugoslavia
1990-06-06_belgium_poland,1990-06-06,Belgium,Poland,1,1,0,Friendly,friendly,Belgium
1990-06-06_norway_denmark,1990-06-06,Norway,Denmark,1,2,0,Friendly,friendly,Norway
1990-06-07_namibia_mauritius,1990-06-07,Namibia,Mauritius,1,2,0,Friendly,friendly,Namibia
1990-06-08_argentina_cameroon,1990-06-08,Argentina,Cameroon,0,1,1,FIFA World Cup,tournament,Italy
1990-06-09_italy_austria,1990-06-09,Italy,Austria,1,0,0,FIFA World Cup,tournament,Italy
1990-06-09_russia_romania,1990-06-09,Russia,Romania,0,2,1,FIFA World Cup,tournament,Italy
1990-06-09_united_arab_emirates_colombia,1990-06-09,United Arab Emirates,Colombia,0,2,1,FIFA World Cup,tournament,Italy
1990-06-10_botswana_mauritius,1990-06-10,Botswana,Mauritius,0,1,0,Friendly,friendly,Botswana
1990-06-10_brazil_sweden,1990-06-10,Brazil,Sweden,2,1,1,FIFA World Cup,tournament,Italy
1990-06-10_germany_yugoslavia,1990-06-10,Germany,Yugoslavia,4,1,1,FIFA World Cup,tournament,Italy
1990-06-10_united_states_czechoslovakia,1990-06-10,United States,Czechoslovakia,1,5,1,FIFA World Cup,tournament,Italy
1990-06-11_costa_rica_scotland,1990-06-11,Costa Rica,Scotland,1,0,1,FIFA World Cup,tournament,Italy
1990-06-11_england_republic_of_ireland,1990-06-11,England,Republic of Ireland,1,1,1,FIFA World Cup,tournament,Italy
1990-06-12_belgium_south_korea,1990-06-12,Belgium,South Korea,2,0,1,FIFA World Cup,tournament,Italy
1990-06-12_netherlands_egypt,1990-06-12,Netherlands,Egypt,1,1,1,FIFA World Cup,tournament,Italy
1990-06-13_argentina_russia,1990-06-13,Argentina,Russia,2,0,1,FIFA World Cup,tournament,Italy
1990-06-13_uruguay_spain,1990-06-13,Uruguay,Spain,0,0,1,FIFA World Cup,tournament,Italy
1990-06-14_cameroon_romania,1990-06-14,Cameroon,Romania,2,1,1,FIFA World Cup,tournament,Italy
1990-06-14_italy_united_states,1990-06-14,Italy,United States,1,0,0,FIFA World Cup,tournament,Italy
1990-06-14_yugoslavia_colombia,1990-06-14,Yugoslavia,Colombia,1,0,1,FIFA World Cup,tournament,Italy
1990-06-15_austria_czechoslovakia,1990-06-15,Austria,Czechoslovakia,0,1,1,FIFA World Cup,tournament,Italy
1990-06-15_germany_united_arab_emirates,1990-06-15,Germany,United Arab Emirates,5,1,1,FIFA World Cup,tournament,Italy
1990-06-16_brazil_costa_rica,1990-06-16,Brazil,Costa Rica,1,0,1,FIFA World Cup,tournament,Italy
1990-06-16_england_netherlands,1990-06-16,England,Netherlands,0,0,1,FIFA World Cup,tournament,Italy
1990-06-16_sweden_scotland,1990-06-16,Sweden,Scotland,1,2,1,FIFA World Cup,tournament,Italy
1990-06-17_belgium_uruguay,1990-06-17,Belgium,Uruguay,3,1,1,FIFA World Cup,tournament,Italy
1990-06-17_republic_of_ireland_egypt,1990-06-17,Republic of Ireland,Egypt,0,0,1,FIFA World Cup,tournament,Italy
1990-06-17_south_korea_spain,1990-06-17,South Korea,Spain,1,3,1,FIFA World Cup,tournament,Italy
1990-06-18_argentina_romania,1990-06-18,Argentina,Romania,1,1,1,FIFA World Cup,tournament,Italy
1990-06-18_cameroon_russia,1990-06-18,Cameroon,Russia,0,4,1,FIFA World Cup,tournament,Italy
1990-06-19_austria_united_states,1990-06-19,Austria,United States,2,1,1,FIFA World Cup,tournament,Italy
1990-06-19_germany_colombia,1990-06-19,Germany,Colombia,1,1,1,FIFA World Cup,tournament,Italy
1990-06-19_italy_czechoslovakia,1990-06-19,Italy,Czechoslovakia,2,0,0,FIFA World Cup,tournament,Italy
1990-06-19_yugoslavia_united_arab_emirates,1990-06-19,Yugoslavia,United Arab Emirates,4,1,1,FIFA World Cup,tournament,Italy
1990-06-20_brazil_scotland,1990-06-20,Brazil,Scotland,1,0,1,FIFA World Cup,tournament,Italy
1990-06-20_sweden_costa_rica,1990-06-20,Sweden,Costa Rica,1,2,1,FIFA World Cup,tournament,Italy
1990-06-21_belgium_spain,1990-06-21,Belgium,Spain,1,2,1,FIFA World Cup,tournament,Italy
1990-06-21_england_egypt,1990-06-21,England,Egypt,1,0,1,FIFA World Cup,tournament,Italy
1990-06-21_republic_of_ireland_netherlands,1990-06-21,Republic of Ireland,Netherlands,1,1,1,FIFA World Cup,tournament,Italy
1990-06-21_south_korea_uruguay,1990-06-21,South Korea,Uruguay,0,1,1,FIFA World Cup,tournament,Italy
1990-06-23_cameroon_colombia,1990-06-23,Cameroon,Colombia,2,1,1,FIFA World Cup,tournament,Italy
