team_name,confederation,elo_rating,elo_external,fifa_rank,squad_value_eur,gdp_per_capita_usd,population_millions,world_cups_won,wc_appearances,culture_index,structural_strength,matches_played,historical_win_rate,avg_goals_for,avg_goals_against,recent_form,is_host_2026
Uruguay,CONMEBOL,1825.7,1825.7,11,180000000.0,20795.0,3.5,2,29,2.194,4.477,425,0.431,1.459,1.106,-0.092,0
Ecuador,CONMEBOL,1823.2,1823.2,28,120000000.0,6400.0,18.0,0,16,1.513,3.663,412,0.379,1.289,1.16,0.6,0
Switzerland,UEFA,1815.2,1815.2,17,220000000.0,92000.0,9.0,0,26,2.009,4.523,384,0.458,1.63,1.076,1.274,0
Senegal,CAF,1814.8,1814.8,19,200000000.0,1600.0,17.0,0,15,1.439,3.586,419,0.477,1.442,0.878,1.345,0
Italy,UEFA,1810.7,1810.7,9,750000000.0,34776.0,59.0,4,36,2.515,5.864,433,0.54,1.603,0.815,0.916,0
Australia,AFC,1807.8,1807.8,23,120000000.0,64400.0,26.0,0,20,1.679,4.032,385,0.532,1.966,0.904,0.447,0
South Korea,OTHER,1802.5,1802.5,100,50000000.0,5000.0,10.0,0,36,2.493,4.88,557,0.492,1.627,0.919,0.433,0
Algeria,CAF,1799.6,1799.6,36,90000000.0,4300.0,45.0,0,10,1.138,3.066,396,0.497,1.626,0.955,1.39,0
Denmark,UEFA,1785.0,1785.0,21,350000000.0,68000.0,6.0,0,19,1.564,3.899,392,0.497,1.592,0.946,1.116,0
Norway,UEFA,1779.6,1779.6,38,200000000.0,89000.0,5.5,0,11,1.135,3.168,398,0.472,1.606,0.987,1.734,0
United States,OTHER,1774.6,1774.6,100,50000000.0,5000.0,10.0,0,33,2.261,4.472,621,0.49,1.605,1.032,0.369,0
Egypt,CAF,1770.5,1770.5,37,85000000.0,3600.0,110.0,0,9,1.007,2.839,513,0.513,1.616,0.883,0.348,0
Canada,CONCACAF,1764.8,1764.8,26,150000000.0,52000.0,40.0,0,7,0.887,3.236,335,0.412,1.4,1.185,1.107,1
Ivory Coast,CAF,1749.7,1749.7,48,220000000.0,2500.0,28.0,0,13,1.157,3.078,416,0.526,1.659,0.911,1.07,0
Russia,UEFA,1748.1,1748.1,55,280000000.0,12000.0,146.0,0,17,1.36,3.742,388,0.49,1.711,0.974,1.739,0
Ukraine,UEFA,1741.4,1741.4,27,180000000.0,4500.0,37.0,0,5,0.72,2.452,335,0.448,1.394,1.063,-0.122,0
Turkey,UEFA,1740.7,1740.7,25,320000000.0,10600.0,85.0,0,10,0.977,3.123,400,0.458,1.522,1.188,0.761,0
Austria,UEFA,1739.0,1739.0,24,200000000.0,52000.0,9.0,0,9,0.92,2.765,345,0.417,1.568,1.325,1.437,0
Nigeria,CAF,1729.7,1729.7,45,180000000.0,2200.0,220.0,0,21,1.516,3.717,418,0.493,1.507,0.9,1.181,0
Paraguay,CONMEBOL,1724.5,1724.5,31,95000000.0,5800.0,7.0,0,20,1.45,2.994,400,0.34,1.12,1.208,0.213,0
Costa Rica,CONCACAF,1703.5,1703.5,44,45000000.0,12500.0,5.2,0,21,1.445,2.691,515,0.394,1.439,1.212,0.115,0
Jersey,OTHER,1699.3,1699.3,100,50000000.0,5000.0,10.0,0,0,0.346,1.693,122,0.68,2.525,0.992,1.163,0
Padania,OTHER,1699.2,1699.2,100,50000000.0,5000.0,10.0,0,0,0.345,1.693,45,0.667,2.689,0.8,1.467,0
Sweden,UEFA,1693.9,1693.9,24,280000000.0,33388.0,10.25,0,27,1.729,3.598,464,0.481,1.597,1.028,-0.174,0
DR Congo,CAF,1693.2,1693.2,41,135000000.0,3050.0,35.0,0,3,0.484,1.912,345,0.362,1.29,1.099,0.689,0
Poland,UEFA,1692.8,1692.8,34,280000000.0,18000.0,38.0,0,13,1.001,2.881,445,0.443,1.546,1.155,0.111,0
Panama,CONCACAF,1691.1,1691.1,39,35000000.0,15500.0,4.4,0,6,0.634,1.547,405,0.365,1.237,1.323,0.063,0
Chile,CONMEBOL,1686.7,1686.7,33,85000000.0,15500.0,19.0,0,12,0.932,2.322,424,0.408,1.375,1.212,-0.182,0
Mali,CAF,1686.2,1686.2,41,135000000.0,3050.0,35.0,0,0,0.31,1.644,385,0.416,1.294,1.005,0.521,0
Uzbekistan,AFC,1686.2,1686.2,23,120000000.0,33147.0,44.0,0,3,0.465,2.031,357,0.473,1.723,1.134,-0.464,0
Serbia,UEFA,1685.4,1685.4,30,350000000.0,9500.0,7.0,0,16,1.136,2.867,347,0.447,1.527,1.089,-0.851,0
Cameroon,CAF,1677.4,1677.4,50,120000000.0,1600.0,28.0,0,23,1.477,3.027,429,0.434,1.296,0.944,0.623,0
Guernsey,OTHER,1677.2,1677.2,100,50000000.0,5000.0,10.0,0,0,0.285,1.53,113,0.566,2.416,1.097,0.803,0
Scotland,UEFA,1675.2,1675.2,29,150000000.0,48000.0,5.5,0,9,0.746,2.158,335,0.424,1.26,1.173,0.496,0
Peru,CONMEBOL,1672.3,1672.3,40,75000000.0,7100.0,34.0,0,3,0.427,1.542,389,0.326,1.093,1.278,-0.742,0
Tunisia,CAF,1671.8,1671.8,32,65000000.0,3800.0,12.0,0,18,1.203,2.399,457,0.464,1.484,0.917,-0.392,0
New Zealand,OFC,1671.7,1671.7,56,25000000.0,48000.0,5.2,0,6,0.581,1.393,237,0.38,1.519,1.338,-0.299,0
Czech Republic,UEFA,1666.5,1666.5,43,180000000.0,27000.0,10.5,0,6,0.566,1.968,363,0.526,1.777,1.03,0.569,0
Saudi Arabia,AFC,1660.6,1660.6,49,320000000.0,28000.0,36.0,0,22,1.379,3.344,580,0.49,1.569,1.021,-0.355,0
Ghana,CAF,1657.8,1657.8,51,150000000.0,2400.0,33.0,0,18,1.164,2.637,422,0.431,1.329,1.021,-0.001,0
Jordan,AFC,1654.6,1654.6,23,120000000.0,33147.0,44.0,0,3,0.378,1.788,430,0.388,1.337,1.033,-0.462,0
Greece,UEFA,1654.4,1654.4,24,280000000.0,33388.0,10.25,0,10,0.74,2.16,380,0.458,1.295,0.995,0.295,0
United Arab Emirates,AFC,1650.6,1650.6,23,120000000.0,33147.0,44.0,0,3,0.368,1.758,488,0.408,1.43,1.18,0.144,0
Venezuela,CONMEBOL,1647.8,1647.8,53,45000000.0,3400.0,28.0,0,0,0.205,0.928,367,0.275,1.068,1.662,-0.381,0
Iraq,AFC,1644.7,1644.7,54,55000000.0,5800.0,44.0,0,3,0.351,1.242,436,0.429,1.44,1.034,-0.659,0
South Africa,CAF,1642.5,1642.5,57,65000000.0,6500.0,60.0,0,13,0.863,2.038,458,0.432,1.242,0.9,0.326,0
Wales,UEFA,1641.2,1641.2,35,120000000.0,32000.0,3.2,0,3,0.342,1.389,309,0.372,1.175,1.227,0.362,0
Hungary,UEFA,1639.5,1639.5,47,280000000.0,18500.0,9.7,0,0,0.182,1.467,374,0.393,1.369,1.342,-0.028,0
Burkina Faso,CAF,1636.6,1636.6,41,135000000.0,3050.0,35.0,0,0,0.174,1.266,373,0.362,1.244,1.204,0.83,0
Jamaica,CONCACAF,1634.6,1634.6,26,150000000.0,15500.0,40.0,0,3,0.324,1.58,512,0.418,1.391,1.172,0.443,0
Republic of Ireland,UEFA,1634.5,1634.5,46,120000000.0,102000.0,5.2,0,13,0.841,2.089,379,0.406,1.34,0.955,0.483,0
Iraqi Kurdistan,OTHER,1634.4,1634.4,100,50000000.0,5000.0,10.0,0,0,0.168,1.213,27,0.481,2.259,1.0,1.312,0
Occitania,OTHER,1634.1,1634.1,100,50000000.0,5000.0,10.0,0,0,0.167,1.211,33,0.576,3.121,1.152,2.415,0
Haiti,CONCACAF,1633.4,1633.4,26,150000000.0,15500.0,40.0,0,3,0.32,1.571,302,0.407,1.709,1.358,-0.017,0
Slovakia,UEFA,1628.5,1628.5,41,95000000.0,21000.0,5.5,0,4,0.359,1.3,353,0.414,1.408,1.184,-0.057,0
Honduras,CONCACAF,1625.8,1625.8,26,150000000.0,15500.0,40.0,0,6,0.455,1.729,467,0.405,1.52,1.246,-0.014,0
Northern Cyprus,OTHER,1618.8,1618.8,100,50000000.0,5000.0,10.0,0,0,0.125,1.098,31,0.645,3.161,0.742,1.858,0
Isle of Man,OTHER,1617.9,1617.9,100,50000000.0,5000.0,10.0,0,0,0.123,1.091,58,0.603,3.207,1.5,2.758,0
New Caledonia,OTHER,1608.3,1608.3,100,50000000.0,5000.0,10.0,0,0,0.096,1.02,152,0.461,2.572,1.355,0.892,0
Romania,UEFA,1606.3,1606.3,24,280000000.0,33388.0,10.25,0,13,0.764,2.007,395,0.489,1.628,0.995,0.546,0
Cape Verde,OTHER,1601.5,1601.5,100,50000000.0,5000.0,10.0,0,3,0.233,1.172,203,0.394,1.123,1.059,0.287,0
Syria,AFC,1600.5,1600.5,23,120000000.0,33147.0,44.0,0,0,0.075,1.158,371,0.361,1.507,1.261,0.473,0
Oman,AFC,1598.5,1598.5,23,120000000.0,33147.0,44.0,0,0,0.069,1.142,476,0.418,1.384,1.071,-0.346,0
Guatemala,CONCACAF,1597.0,1597.0,26,150000000.0,15500.0,40.0,0,0,0.065,1.076,364,0.363,1.324,1.272,-0.995,0
Slovenia,UEFA,1596.8,1596.8,24,280000000.0,33388.0,10.25,0,6,0.376,1.465,317,0.36,1.237,1.174,-0.305,0
Basque Country,OTHER,1596.7,1596.7,100,50000000.0,5000.0,10.0,0,0,0.065,0.934,34,0.618,2.353,1.059,2.162,0
Réunion,OTHER,1583.5,1583.5,100,50000000.0,5000.0,10.0,0,0,0.028,0.837,58,0.586,1.862,0.69,0.114,0
Yugoslavia,OTHER,1579.8,1579.8,100,50000000.0,5000.0,10.0,0,5,0.277,1.147,22,0.455,1.682,1.045,0.642,0
Czechoslovakia,OTHER,1578.7,1578.7,100,50000000.0,5000.0,10.0,0,5,0.274,1.138,40,0.4,1.575,1.1,0.757,0
Guinea,OTHER,1575.4,1575.4,100,50000000.0,5000.0,10.0,0,0,0.006,0.777,306,0.379,1.314,1.183,0.362,0
Palestine,AFC,1575.1,1575.1,23,120000000.0,33147.0,44.0,0,0,0.005,0.963,224,0.308,1.317,1.317,-0.424,0
Bolivia,CONMEBOL,1574.1,1574.1,52,25000000.0,3600.0,12.0,0,3,0.158,0.363,356,0.219,1.0,1.716,-1.264,0
Isle of Wight,OTHER,1573.9,1573.9,100,50000000.0,5000.0,10.0,0,0,0.002,0.766,48,0.542,2.354,1.25,0.748,0
Bosnia and Herzegovina,UEFA,1568.3,1568.3,24,280000000.0,33388.0,10.25,0,6,0.298,1.254,286,0.367,1.374,1.378,0.228,0
China,OTHER,1567.3,1567.3,100,50000000.0,5000.0,10.0,0,3,0.139,0.919,444,0.441,1.673,1.088,-0.333,0
Guadeloupe,OTHER,1566.8,1566.8,100,50000000.0,5000.0,10.0,0,0,-0.017,0.714,171,0.468,1.819,1.269,0.378,0
Curaçao,CONCACAF,1565.7,1565.7,26,150000000.0,15500.0,40.0,0,3,0.135,1.054,179,0.318,1.52,1.503,-0.152,0
Kosovo,UEFA,1565.4,1565.4,24,280000000.0,33388.0,10.25,0,0,-0.021,0.828,104,0.404,1.462,1.337,0.753,0
Ynys Môn,OTHER,1562.9,1562.9,100,50000000.0,5000.0,10.0,0,0,-0.028,0.685,63,0.54,1.841,1.365,1.015,0
Catalonia,OTHER,1558.9,1558.9,100,50000000.0,5000.0,10.0,0,0,-0.039,0.655,25,0.48,1.96,1.2,0.696,0
Martinique,OTHER,1558.6,1558.6,100,50000000.0,5000.0,10.0,0,0,-0.04,0.653,215,0.423,1.619,1.279,-0.488,0
Qatar,AFC,1557.0,1557.0,42,15000000.0,88000.0,2.9,0,6,0.267,0.401,504,0.425,1.48,1.157,-1.065,0
Suriname,OTHER,1556.7,1556.7,100,50000000.0,5000.0,10.0,0,0,-0.045,0.639,189,0.397,1.593,1.36,0.111,0
Abkhazia,OTHER,1556.7,1556.7,100,50000000.0,5000.0,10.0,0,0,-0.045,0.639,33,0.455,1.636,0.788,0.851,0
Thailand,AFC,1555.1,1555.1,23,120000000.0,33147.0,44.0,0,0,-0.049,0.81,458,0.469,1.812,1.229,1.41,0
Bahrain,AFC,1553.6,1553.6,23,120000000.0,33147.0,44.0,0,0,-0.053,0.798,463,0.378,1.292,1.153,-0.652,0
Kernow,OTHER,1552.2,1552.2,100,50000000.0,5000.0,10.0,0,0,-0.057,0.606,9,0.778,2.889,0.889,1.214,0
Zambia,CAF,1551.6,1551.6,41,135000000.0,3050.0,35.0,0,0,-0.059,0.619,509,0.424,1.305,0.978,-1.222,0
Trinidad and Tobago,CONCACAF,1551.5,1551.5,26,150000000.0,15500.0,40.0,0,3,0.096,0.945,461,0.408,1.586,1.369,-1.074,0
North Korea,OTHER,1550.5,1550.5,100,50000000.0,5000.0,10.0,0,3,0.093,0.795,275,0.367,1.48,1.185,-0.649,0
Israel,UEFA,1549.3,1549.3,24,280000000.0,33388.0,10.25,0,0,-0.065,0.708,308,0.383,1.542,1.494,-0.143,0
Sápmi,OTHER,1547.3,1547.3,100,50000000.0,5000.0,10.0,0,0,-0.071,0.569,29,0.414,3.103,1.862,-1.114,0
Georgia,UEFA,1546.5,1546.5,24,280000000.0,33388.0,10.25,0,0,-0.073,0.688,306,0.324,1.235,1.408,0.222,0
Albania,UEFA,1545.7,1545.7,24,280000000.0,33388.0,10.25,0,0,-0.075,0.682,311,0.312,1.013,1.312,-0.136,0
Finland,UEFA,1545.5,1545.5,24,280000000.0,33388.0,10.25,0,0,-0.076,0.68,396,0.338,1.164,1.278,-0.74,0
Panjab,OTHER,1545.5,1545.5,100,50000000.0,5000.0,10.0,0,0,-0.075,0.556,19,0.474,2.842,1.579,2.058,0
French Guiana,OTHER,1544.9,1544.9,100,50000000.0,5000.0,10.0,0,0,-0.077,0.551,136,0.338,1.574,1.463,-0.11,0
Angola,OTHER,1543.9,1543.9,100,50000000.0,5000.0,10.0,0,3,0.076,0.747,350,0.349,1.16,1.003,0.301,0
Gabon,OTHER,1541.9,1541.9,100,50000000.0,5000.0,10.0,0,0,-0.085,0.53,313,0.371,1.182,1.096,-0.013,0
Menorca,OTHER,1539.6,1539.6,100,50000000.0,5000.0,10.0,0,0,-0.092,0.512,25,0.44,2.24,1.28,-0.221,0
Tahiti,OTHER,1539.4,1539.4,100,50000000.0,5000.0,10.0,0,0,-0.092,0.511,144,0.5,2.375,1.604,0.359,0
Iceland,UEFA,1538.9,1538.9,24,280000000.0,33388.0,10.25,0,3,0.062,0.834,367,0.332,1.259,1.482,-0.723,0
Uganda,OTHER,1538.0,1538.0,100,50000000.0,5000.0,10.0,0,0,-0.096,0.501,405,0.39,1.222,0.99,-0.269,0
Ellan Vannin,OTHER,1537.9,1537.9,100,50000000.0,5000.0,10.0,0,0,-0.096,0.5,22,0.5,2.455,1.455,0.489,0
Andalusia,OTHER,1537.6,1537.6,100,50000000.0,5000.0,10.0,0,0,-0.097,0.498,12,0.667,2.0,0.833,1.053,0
Fiji,OTHER,1537.5,1537.5,100,50000000.0,5000.0,10.0,0,0,-0.098,0.497,178,0.483,2.348,1.258,-1.069,0
Kárpátalja,OTHER,1534.6,1534.6,100,50000000.0,5000.0,10.0,0,0,-0.105,0.475,11,0.455,2.273,1.182,1.328,0
Northern Ireland,OTHER,1532.9,1532.9,100,50000000.0,5000.0,10.0,0,0,-0.11,0.463,305,0.298,1.0,1.285,-0.113,0
Rhodes,OTHER,1531.2,1531.2,100,50000000.0,5000.0,10.0,0,0,-0.115,0.45,18,0.611,1.611,1.056,0.33,0
Yorkshire,OTHER,1528.6,1528.6,100,50000000.0,5000.0,10.0,0,0,-0.122,0.431,7,0.714,3.857,1.571,2.127,0
County of Nice,OTHER,1527.9,1527.9,100,50000000.0,5000.0,10.0,0,0,-0.124,0.426,9,0.667,2.111,1.444,0.692,0
North Macedonia,UEFA,1526.6,1526.6,24,280000000.0,33388.0,10.25,0,0,-0.127,0.541,306,0.31,1.193,1.346,-0.396,0
Tamil Eelam,OTHER,1526.4,1526.4,100,50000000.0,5000.0,10.0,0,0,-0.128,0.415,28,0.571,2.571,2.179,3.055,0
Zanzibar,OTHER,1524.0,1524.0,100,50000000.0,5000.0,10.0,0,0,-0.135,0.397,102,0.314,1.108,1.373,0.499,0
Artsakh,OTHER,1522.9,1522.9,100,50000000.0,5000.0,10.0,0,0,-0.138,0.389,11,0.545,2.909,1.273,0.289,0
Kurdistan,OTHER,1522.8,1522.8,100,50000000.0,5000.0,10.0,0,0,-0.138,0.388,5,0.8,2.4,0.4,2.267,0
Chameria,OTHER,1521.2,1521.2,100,50000000.0,5000.0,10.0,0,0,-0.142,0.376,7,0.429,2.0,1.143,0.566,0
German DR,OTHER,1519.3,1519.3,100,50000000.0,5000.0,10.0,0,0,-0.147,0.362,7,0.714,1.857,1.286,0.695,0
El Salvador,CONCACAF,1518.6,1518.6,26,150000000.0,15500.0,40.0,0,0,-0.149,0.478,408,0.299,1.105,1.439,-0.506,0
Benin,OTHER,1518.4,1518.4,100,50000000.0,5000.0,10.0,0,0,-0.15,0.356,242,0.264,1.008,1.57,-0.614,0
Quebec,OTHER,1518.3,1518.3,100,50000000.0,5000.0,10.0,0,0,-0.15,0.355,3,0.667,8.0,0.667,7.305,0
Arameans Suryoye,OTHER,1517.5,1517.5,100,50000000.0,5000.0,10.0,0,0,-0.152,0.349,10,0.5,1.6,1.2,0.593,0
Cascadia,OTHER,1517.3,1517.3,100,50000000.0,5000.0,10.0,0,0,-0.153,0.347,7,0.571,3.286,2.0,1.496,0
Western Armenia,OTHER,1513.9,1513.9,100,50000000.0,5000.0,10.0,0,0,-0.162,0.322,16,0.312,2.125,1.25,0.679,0
United Koreans in Japan,OTHER,1511.8,1511.8,100,50000000.0,5000.0,10.0,0,0,-0.168,0.307,12,0.25,1.667,0.917,0.709,0
Libya,OTHER,1509.0,1509.0,100,50000000.0,5000.0,10.0,0,0,-0.175,0.286,248,0.359,1.157,1.181,0.229,0
Maule Sur,OTHER,1508.2,1508.2,100,50000000.0,5000.0,10.0,0,0,-0.178,0.28,2,1.0,1.0,0.0,1.0,0
Elba Island,OTHER,1508.1,1508.1,100,50000000.0,5000.0,10.0,0,0,-0.178,0.28,2,1.0,4.5,1.0,3.621,0
Surrey,OTHER,1507.9,1507.9,100,50000000.0,5000.0,10.0,0,0,-0.179,0.278,1,1.0,3.0,1.0,2.0,0
Corsica,OTHER,1507.9,1507.9,100,50000000.0,5000.0,10.0,0,0,-0.179,0.278,8,0.375,1.0,0.625,0.158,0
Parishes of Jersey,OTHER,1507.7,1507.7,100,50000000.0,5000.0,10.0,0,0,-0.179,0.276,3,0.667,3.667,1.333,2.51,0
Canary Islands,OTHER,1505.0,1505.0,100,50000000.0,5000.0,10.0,0,0,-0.186,0.257,4,0.75,2.75,0.75,1.925,0
Donetsk PR,OTHER,1504.2,1504.2,100,50000000.0,5000.0,10.0,0,0,-0.189,0.251,6,0.333,1.333,1.167,0.415,0
Biafra,OTHER,1504.1,1504.1,100,50000000.0,5000.0,10.0,0,0,-0.189,0.25,3,0.667,0.667,0.333,0.335,0
Solomon Islands,OTHER,1502.9,1502.9,100,50000000.0,5000.0,10.0,0,0,-0.192,0.241,176,0.443,2.222,1.693,-1.41,0
Mapuche,OTHER,1502.5,1502.5,100,50000000.0,5000.0,10.0,0,0,-0.193,0.238,2,0.5,1.5,1.0,0.501,0
Székely Land,OTHER,1501.7,1501.7,100,50000000.0,5000.0,10.0,0,0,-0.196,0.232,27,0.333,2.074,2.074,2.958,0
Sealand,OTHER,1501.7,1501.7,100,50000000.0,5000.0,10.0,0,0,-0.196,0.232,12,0.333,2.25,2.5,0.411,0
Délvidék,OTHER,1501.6,1501.6,100,50000000.0,5000.0,10.0,0,0,-0.196,0.232,2,0.5,2.0,1.5,0.497,0
Tajikistan,OTHER,1501.4,1501.4,100,50000000.0,5000.0,10.0,0,0,-0.196,0.23,201,0.388,1.488,1.383,0.838,0
Felvidék,OTHER,1501.1,1501.1,100,50000000.0,5000.0,10.0,0,0,-0.197,0.228,12,0.417,1.167,1.667,-0.184,0
Shetland,OTHER,1501.0,1501.0,100,50000000.0,5000.0,10.0,0,0,-0.197,0.227,54,0.389,1.852,1.852,0.109,0
Brittany,OTHER,1500.9,1500.9,100,50000000.0,5000.0,10.0,0,0,-0.198,0.226,6,0.5,1.167,1.0,0.45,0
Vietnam,AFC,1500.6,1500.6,23,120000000.0,33147.0,44.0,0,0,-0.198,0.393,294,0.432,1.636,1.354,1.23,0
Silesia,OTHER,1500.5,1500.5,100,50000000.0,5000.0,10.0,0,0,-0.199,0.224,1,0.0,1.0,1.0,0.0,0
Crimea,OTHER,1500.3,1500.3,100,50000000.0,5000.0,10.0,0,0,-0.199,0.222,5,0.6,1.4,2.2,-0.798,0
Galicia,OTHER,1498.5,1498.5,100,50000000.0,5000.0,10.0,0,0,-0.204,0.209,8,0.375,1.5,2.125,-1.995,0
Lebanon,OTHER,1498.2,1498.2,100,50000000.0,5000.0,10.0,0,0,-0.205,0.206,300,0.28,1.143,1.337,0.993,0
Gambia,OTHER,1497.9,1497.9,100,50000000.0,5000.0,10.0,0,0,-0.206,0.204,177,0.282,1.045,1.266,0.331,0
Saugeais,OTHER,1497.9,1497.9,100,50000000.0,5000.0,10.0,0,0,-0.206,0.204,1,0.0,1.0,1.0,0.0,0
Republic of St. Pauli,OTHER,1497.1,1497.1,100,50000000.0,5000.0,10.0,0,0,-0.208,0.198,4,0.25,2.5,1.25,1.244,0
Indonesia,AFC,1497.0,1497.0,23,120000000.0,33147.0,44.0,0,0,-0.208,0.365,346,0.387,1.671,1.512,0.345,0
Cilento,OTHER,1495.8,1495.8,100,50000000.0,5000.0,10.0,0,0,-0.212,0.188,1,0.0,0.0,2.0,-2.0,0
Yoruba Nation,OTHER,1495.7,1495.7,100,50000000.0,5000.0,10.0,0,0,-0.212,0.188,2,0.0,0.5,1.0,-0.501,0
Gotland,OTHER,1495.3,1495.3,100,50000000.0,5000.0,10.0,0,0,-0.213,0.185,30,0.367,2.7,1.9,2.054,0
Madrid,OTHER,1495.1,1495.1,100,50000000.0,5000.0,10.0,0,0,-0.214,0.184,1,0.0,1.0,2.0,-1.0,0
Franconia,OTHER,1494.7,1494.7,100,50000000.0,5000.0,10.0,0,0,-0.215,0.18,3,0.667,2.667,3.667,0.571,0
Luhansk PR,OTHER,1494.7,1494.7,100,50000000.0,5000.0,10.0,0,0,-0.215,0.181,6,0.333,1.5,2.0,-0.337,0
Seborga,OTHER,1494.6,1494.6,100,50000000.0,5000.0,10.0,0,0,-0.215,0.18,1,0.0,2.0,3.0,-1.0,0
Vanuatu,OTHER,1494.1,1494.1,100,50000000.0,5000.0,10.0,0,0,-0.216,0.176,151,0.364,1.874,1.841,-0.383,0
Matabeleland,OTHER,1493.4,1493.4,100,50000000.0,5000.0,10.0,0,0,-0.218,0.171,8,0.375,0.875,1.75,-0.135,0
Åland Islands,OTHER,1492.5,1492.5,100,50000000.0,5000.0,10.0,0,0,-0.221,0.165,47,0.404,1.426,1.574,-1.706,0
Somaliland,OTHER,1491.2,1491.2,100,50000000.0,5000.0,10.0,0,0,-0.224,0.155,6,0.333,2.333,3.333,-2.729,0
Malaysia,OTHER,1491.1,1491.1,100,50000000.0,5000.0,10.0,0,0,-0.225,0.154,367,0.365,1.52,1.477,0.955,0
Dominican Republic,OTHER,1490.4,1490.4,100,50000000.0,5000.0,10.0,0,0,-0.226,0.149,151,0.404,1.735,1.589,0.545,0
Aymara,OTHER,1489.3,1489.3,100,50000000.0,5000.0,10.0,0,0,-0.229,0.141,2,0.0,0.5,2.0,-1.5,0
Kuwait,OTHER,1489.2,1489.2,100,50000000.0,5000.0,10.0,0,0,-0.23,0.14,470,0.379,1.489,1.166,-0.574,0
Papua New Guinea,OTHER,1488.5,1488.5,100,50000000.0,5000.0,10.0,0,0,-0.232,0.135,103,0.32,1.883,1.786,0.059,0
Zimbabwe,OTHER,1488.1,1488.1,100,50000000.0,5000.0,10.0,0,0,-0.233,0.132,365,0.381,1.304,1.148,-0.224,0
Hmong,OTHER,1488.0,1488.0,100,50000000.0,5000.0,10.0,0,0,-0.233,0.131,3,0.333,2.0,3.333,-1.334,0
Guyana,OTHER,1487.9,1487.9,100,50000000.0,5000.0,10.0,0,0,-0.233,0.13,184,0.38,1.587,1.679,0.695,0
Mozambique,OTHER,1487.3,1487.3,100,50000000.0,5000.0,10.0,0,0,-0.235,0.126,325,0.329,1.025,1.222,-0.651,0
West Papua,OTHER,1486.9,1486.9,100,50000000.0,5000.0,10.0,0,0,-0.236,0.123,2,0.0,1.5,4.5,-0.638,0
Ryūkyū,OTHER,1486.1,1486.1,100,50000000.0,5000.0,10.0,0,0,-0.238,0.117,1,0.0,0.0,9.0,-9.0,0
Greenland,OTHER,1484.7,1484.7,100,50000000.0,5000.0,10.0,0,0,-0.242,0.106,66,0.364,2.061,2.0,-2.283,0
Romani people,OTHER,1484.4,1484.4,100,50000000.0,5000.0,10.0,0,0,-0.243,0.104,7,0.286,1.857,3.714,-1.556,0
Kabylia,OTHER,1483.7,1483.7,100,50000000.0,5000.0,10.0,0,0,-0.245,0.099,6,0.167,1.333,2.5,-1.151,0
East Turkestan,OTHER,1482.6,1482.6,100,50000000.0,5000.0,10.0,0,0,-0.248,0.091,5,0.4,3.0,3.2,-1.301,0
South Ossetia,OTHER,1480.5,1480.5,100,50000000.0,5000.0,10.0,0,0,-0.254,0.076,17,0.294,2.059,2.176,0.07,0
